PC Time	Time Meas	Mod No.	Mod Status	Range Innov	Range Uncer	Rate Innov	Rate Uncer	Sat Num
0.0000	103.387008	4	8	  0.1893609	       8.1936152	  0.0656732	       0.1349327	14
0.0000	103.387008	5	8	  0.0162054	       8.1958389	 -0.0789876	       0.1374991	17
0.0000	104.286976	0	8	 -0.2188842	       8.1664442	 -0.4350749	       0.2579994	3
0.0000	104.286976	1	8	  0.0063160	       8.1577119	  0.1227169	       0.2129478	6
0.0000	104.286976	2	8	 -0.0682129	       8.1856329	  0.2158340	       0.1556131	7
0.0000	104.387008	3	8	 -0.0157100	       8.1121128	  0.2286083	       0.1513438	13
0.0000	104.387008	4	8	  0.1978310	       8.1847241	  0.1280259	       0.1531117	14
0.0000	104.387008	5	8	 -0.1348392	       8.1867154	 -0.1701522	       0.1687948	17
0.0000	105.286976	0	8	 -0.5294997	       8.1594424	 -0.6499209	       0.2634581	3
0.0000	105.286976	1	8	 -0.0242954	       8.1513049	  0.2577682	       0.1780905	6
0.0000	105.286976	2	0	  0.0087685	       8.1775261	  0.4756257	       0.1528134	7
0.0000	105.387008	3	0	  0.3970168	       8.1092767	  0.6269821	       0.1792007	13
0.0000	105.387008	4	0	  0.6507388	       8.1774025	  0.8006088	       0.2157450	14
0.0000	105.387008	5	8	 -0.0827552	       8.1786558	  0.2494080	       0.1970690	17
0.0000	106.286976	0	8	 -0.9062855	       8.1533273	 -0.6328117	       0.2646034	3
0.0000	106.286976	1	8	 -0.0610991	       8.1459498	  0.3640628	       0.1822398	6
0.0000	106.286976	2	0	  0.4712453	       8.1789343	  0.6367412	       0.1730564	7
0.0000	106.387008	3	0	  0.9802318	       8.1104051	  0.8803309	       0.2077505	13
0.0000	106.387008	4	0	  1.3363953	       8.1799692	  1.1010969	       0.2542384	14
0.0000	106.387008	5	8	  0.0496647	       8.1714343	  0.3680358	       0.1956377	17
0.0000	107.286976	0	8	 -1.1981791	       8.1479473	 -0.5680277	       0.2693040	3
0.0000	107.286976	1	8	  0.1528616	       8.1412014	  0.4126154	       0.1828730	6
0.0000	107.286976	2	0	  0.7256873	       8.1810067	  0.5583146	       0.1840226	7
0.0000	107.387008	3	0	  1.5627557	       8.1123991	  0.7818494	       0.2225788	13
0.0000	107.387008	4	0	  1.8822452	       8.1839662	  0.9917688	       0.2743598	14
0.0000	107.387008	5	8	  0.1304833	       8.1649199	  0.3018536	       0.1958658	17
0.0000	108.286976	1	8	  0.1314597	       8.1374088	 -0.0018000	       0.2726528	6
0.0000	108.286976	2	8	  1.2922465	       8.1850359	  0.4906604	       0.1901602	7
0.0000	108.387008	0	8	 -0.9737557	       8.1421375	 -0.4166334	       0.1960097	3
0.0000	108.387008	4	8	  1.6115271	       8.1859069	  0.4334041	       0.2176107	14
0.0000	108.387008	5	8	 -0.1254051	       8.1586522	 -0.0679111	       0.1506121	17
0.0000	109.286976	1	8	  0.0940736	       8.1326938	  0.1458022	       0.2770912	6
0.0000	109.286976	2	8	  0.7447003	       8.1755578	 -0.0162817	       0.1510845	7
0.0000	109.387008	0	8	 -0.5649510	       8.1373385	  0.0430703	       0.1740190	3
0.0000	109.387008	4	8	  1.3060527	       8.1761881	  0.1615224	       0.1782313	14
0.0000	109.387008	5	8	  0.1425335	       8.1530695	 -0.0399322	       0.1587399	17
0.0000	110.286976	1	8	  0.1153410	       8.1286622	  0.0834324	       0.2750780	6
0.0000	110.286976	2	8	  0.6170010	       8.1687477	 -0.3304354	       0.1486204	7
0.0000	110.387008	0	8	 -0.2362192	       8.1330517	  0.4241917	       0.1720342	3
0.0000	110.387008	4	8	  0.9982688	       8.1692861	 -0.1532533	       0.1689806	14
0.0000	110.387008	5	8	  0.3167579	       8.1479567	  0.0918863	       0.1586323	17
0.0000	111.286976	1	8	  0.3359590	       8.1249850	  0.0533246	       0.2638380	6
0.0000	111.286976	2	0	  0.2379554	       8.1625190	 -0.6342801	       0.1508243	7
0.0000	111.387008	0	0	  0.5375122	       8.1291446	  0.7461857	       0.1790018	3
0.0000	111.387008	4	8	  1.0174836	       8.1631999	 -0.2794834	       0.1945601	14
0.0000	111.387008	5	0	  1.0195214	       8.1434413	  0.7361866	       0.1818272	17
0.0000	112.286976	1	8	  0.3477900	       8.1222548	 -0.0873500	       0.2616847	6
0.0000	112.286976	2	0	 -0.5948329	       8.1644597	 -0.9658952	       0.1588694	7
0.0000	112.387008	0	0	  1.8501952	       8.1306067	  1.2967101	       0.2112020	3
0.0000	112.387008	4	8	  0.4156881	       8.1576703	 -0.5619959	       0.1966012	14
0.0000	112.387008	5	0	  2.1803331	       8.1463343	  1.4405510	       0.2247588	17
0.0000	113.286976	1	8	 -0.1073086	       8.1196920	 -0.2294859	       0.2587199	6
0.0000	113.286976	2	0	 -1.9325132	       8.1670874	 -1.0895489	       0.1623630	7
0.0000	113.387008	0	0	  3.5283749	       8.1346796	  1.7674929	       0.2310909	3
0.0000	113.387008	4	0	 -0.3096703	       8.1525482	 -0.7293172	       0.1886582	14
0.0000	113.387008	5	0	  3.7238228	       8.1537320	  1.5950078	       0.2799126	17
0.0000	114.286976	1	8	 -0.1423341	       8.1172848	 -0.2140652	       0.2626979	6
0.0000	114.286976	2	0	 -3.2119248	       8.1710216	 -1.2316639	       0.1724064	7
0.0000	114.387008	0	0	  5.5017095	       8.1430178	  2.0405328	       0.2514770	3
0.0000	114.387008	4	0	 -1.2840080	       8.1554483	 -0.9389387	       0.2121717	14
0.0000	114.387008	5	0	  5.5441298	       8.1691890	  1.8003622	       0.3136304	17
0.0000	115.286976	1	8	 -0.3444968	       8.1149808	 -0.2068977	       0.2630339	6
