2,2,100,1,GDOP, 900720000.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
2500,1111094.6656,1287.4997,6259149.0379,-0.5968,514.9997,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00115876637,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.6656,1287.4997,6259149.0379,-0.5968,514.9997,0.0000,-0.239,0.000,0.000,1.39626340160,0.00115876637,-400.0000,2.608
2600,1111094.6047,1338.9997,6259149.0379,-0.6206,514.9996,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00120511703,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.6047,1338.9997,6259149.0379,-0.6206,514.9996,0.0000,-0.239,0.000,0.000,1.39626340160,0.00120511703,-400.0000,2.608
2700,1111094.5415,1390.4996,6259149.0379,-0.6445,514.9996,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00125146768,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.5415,1390.4996,6259149.0379,-0.6445,514.9996,0.0000,-0.239,0.000,0.000,1.39626340160,0.00125146768,-400.0000,2.608
2800,1111094.4758,1441.9996,6259149.0379,-0.6684,514.9996,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00129781834,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.4758,1441.9996,6259149.0379,-0.6684,514.9996,0.0000,-0.239,0.000,0.000,1.39626340160,0.00129781834,-400.0000,2.608
2900,1111094.4078,1493.4996,6259149.0379,-0.6922,514.9995,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00134416899,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.4078,1493.4996,6259149.0379,-0.6922,514.9995,0.0000,-0.239,0.000,0.000,1.39626340160,0.00134416899,-400.0000,2.608
3000,1111094.3374,1544.9995,6259149.0379,-0.7161,514.9995,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00139051965,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.3374,1544.9995,6259149.0379,-0.7161,514.9995,0.0000,-0.239,0.000,0.000,1.39626340160,0.00139051965,-400.0000,2.608
3100,1111094.2646,1596.4995,6259149.0379,-0.7400,514.9995,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00143687030,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.2646,1596.4995,6259149.0379,-0.7400,514.9995,0.0000,-0.239,0.000,0.000,1.39626340160,0.00143687030,-400.0000,2.608
3200,1111094.1894,1647.9994,6259149.0379,-0.7639,514.9994,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00148322096,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.1894,1647.9994,6259149.0379,-0.7639,514.9994,0.0000,-0.239,0.000,0.000,1.39626340160,0.00148322096,-400.0000,2.608
3300,1111094.1118,1699.4993,6259149.0379,-0.7877,514.9994,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00152957161,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.1118,1699.4993,6259149.0379,-0.7877,514.9994,0.0000,-0.239,0.000,0.000,1.39626340160,0.00152957161,-400.0000,2.608
3400,1111094.0318,1750.9993,6259149.0379,-0.8116,514.9994,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00157592227,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111094.0318,1750.9993,6259149.0379,-0.8116,514.9994,0.0000,-0.239,0.000,0.000,1.39626340160,0.00157592227,-400.0000,2.608
3500,1111093.9495,1802.4992,6259149.0379,-0.8355,514.9993,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00162227292,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.9495,1802.4992,6259149.0379,-0.8355,514.9993,0.0000,-0.239,0.000,0.000,1.39626340160,0.00162227292,-400.0000,2.608
3600,1111093.8647,1853.9991,6259149.0379,-0.8593,514.9993,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00166862358,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.8647,1853.9991,6259149.0379,-0.8593,514.9993,0.0000,-0.239,0.000,0.000,1.39626340160,0.00166862358,-400.0000,2.608
3700,1111093.7776,1905.4991,6259149.0379,-0.8832,514.9992,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00171497423,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.7776,1905.4991,6259149.0379,-0.8832,514.9992,0.0000,-0.239,0.000,0.000,1.39626340160,0.00171497423,-400.0000,2.608
3800,1111093.6881,1956.9990,6259149.0379,-0.9071,514.9992,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00176132489,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.6881,1956.9990,6259149.0379,-0.9071,514.9992,0.0000,-0.239,0.000,0.000,1.39626340160,0.00176132489,-400.0000,2.608
3900,1111093.5962,2008.4989,6259149.0379,-0.9310,514.9992,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00180767554,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.5962,2008.4989,6259149.0379,-0.9310,514.9992,0.0000,-0.239,0.000,0.000,1.39626340160,0.00180767554,-400.0000,2.608
4000,1111093.5019,2059.9988,6259149.0379,-0.9548,514.9991,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00185402620,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.5019,2059.9988,6259149.0379,-0.9548,514.9991,0.0000,-0.239,0.000,0.000,1.39626340160,0.00185402620,-400.0000,2.608
4100,1111093.4052,2111.4987,6259149.0379,-0.9787,514.9991,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00190037685,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.4052,2111.4987,6259149.0379,-0.9787,514.9991,0.0000,-0.239,0.000,0.000,1.39626340160,0.00190037685,-400.0000,2.608
4200,1111093.3062,2162.9986,6259149.0379,-1.0026,514.9990,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00194672751,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.3062,2162.9986,6259149.0379,-1.0026,514.9990,0.0000,-0.239,0.000,0.000,1.39626340160,0.00194672751,-400.0000,2.608
4300,1111093.2047,2214.4985,6259149.0379,-1.0264,514.9990,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00199307816,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.2047,2214.4985,6259149.0379,-1.0264,514.9990,0.0000,-0.239,0.000,0.000,1.39626340160,0.00199307816,-400.0000,2.608
4400,1111093.1009,2265.9984,6259149.0379,-1.0503,514.9989,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00203942882,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111093.1009,2265.9984,6259149.0379,-1.0503,514.9989,0.0000,-0.239,0.000,0.000,1.39626340160,0.00203942882,-400.0000,2.608
4500,1111092.9946,2317.4983,6259149.0379,-1.0742,514.9989,0.0000,-0.239,0.000,0.000,0.000,0.000,0.000,1.39626340160,0.00208577947,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111092.9946,2317.4983,6259149.0379,-1.0742,514.9989,0.0000,-0.239,0.000,0.000,1.39626340160,0.00208577947,-400.0000,2.608
4600,1111092.8860,2368.9982,6259149.0379,-1.0980,514.9988,0.0000,-0.239,-0.001,0.000,0.000,0.000,0.000,1.39626340160,0.00213213013,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111092.8860,2368.9982,6259149.0379,-1.0980,514.9988,0.0000,-0.239,-0.001,0.000,1.39626340160,0.00213213013,-400.0000,2.608
4700,1111092.7750,2420.4981,6259149.0379,-1.1219,514.9988,0.0000,-0.239,-0.001,0.000,0.000,0.000,0.000,1.39626340160,0.00217848078,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111092.7750,2420.4981,6259149.0379,-1.1219,514.9988,0.0000,-0.239,-0.001,0.000,1.39626340160,0.00217848078,-400.0000,2.608
4800,1111092.6616,2471.9980,6259149.0379,-1.1458,514.9987,0.0000,-0.239,-0.001,0.000,0.000,0.000,0.000,1.39626340160,0.00222483144,-400.0000,1.570796327,0.000000000,0.000000000,0.00000000000,-0.00008048707,-0.00045646484,0.00000000000,0.00000000000,0.00000000000,1111092.6616,2471.9980,6259149.0379,-1.1458,514.9987,0.0000,-0.239,-0.001,0.000,1.39626340160,0.00222483144,-400.0000,2.608
